question,gold
Khi nào thì bảo hiểm sức khỏe cho người gia được duy trì miễn phí?,năm 1973
Khi nào thì các điều luật chống khủng bố xuất hiện ở Nhật Bản?,11/9
Các bộ luật nào quy định chống khủng bố ở Nhật Bản?,"Luật đặc biệt chống khủng bố, Luật sửa đổi Lực lượng phòng vệ và Luật sửa đổi Cục bảo an trên biển"
Đối tác hợp tác trong lần đầu tiên đưa quân đội chống khủng bố ra nước ngoài là quốc gia nào?,Mỹ
Ý nghĩa của việc Nhật đưa quân đội sang Iran để thực hiện các nhiệm vụ nhân đạo là gì?,"bước chuyển mới trong chính sách quốc phòng của Nhật, từng bước tăng cường và mở rộng phạm vi hoạt động của Lực lượng phòng vệ"
Tình hình dân cư Nhật Bản phân bố như thế nào?,không đồng đều
Khu vực nào tập trung đông dân nhất Nhật Bản?,Vành đai Thái Bình Dương
Khu vực nào của Nhật Bản có khí hậu phù hợp với cuộc sống của con người?,miền Đông và miền Nam
Đất đai phù hợp cho việc xây dựng nhà ở chiếm bao nhiêu phần trăm diện tích của Nhật Bản?,15%
Nguyên nhân tạo nên vấn đề khó giải quyết trong tình hình lực lượng lao động của Nhật Bản là gì?,Thay đổi dân số
Việc thay đổi dân số đã gây ra cho Nhật Bản những bất lợi nào?,sự suy giảm lực lượng lao động đồng thời gia tăng chi phí cho phúc lợi xã hội như vấn đề lương hưu
Nguyên nhân của việc dân số của Nhật Bản đang trong chiều hướng đi xuống là gì?,"nhiều người trẻ Nhật Bản hiện có xu hướng không kết hôn hoặc sinh con khi trưởng thành, khiến tỉ suất sinh đẻ đang giảm mạnh"
Dân số Nhật Bản sẽ phát triển theo xu hướng nào?,giảm xuống
Ngôn ngữ nào phổ biến nhất ở Nhật Bản?,tiếng Nhật
Tiếng Nhật thuộc loại hình ngôn ngữ nào?,ngôn ngữ kết dính
Các ngôn ngữ nào góp phần làm giàu cho vốn từ vựng của tiếng Nhật?,tiếng Hán và cả tiếng Anh
Tiếng Ryūkyūan được sử dụng phổ biến ở khu vực nào?,Okinawa
Hai ngôn ngữ nào bắt buộc tron chương trình giáo dục của Nhật Bản?,tiếng Nhật và tiếng Anh
Nguyên nhân của việc phá vỡ hạt nhân gia đình truyền thống là gì?,"cha mẹ già ở lại nông thôn, còn con cái sau khi tốt nghiệp trung học, liền bỏ ra thành thị làm công nhân"
Nông thôn Nhật Bản đang gặp vấn đề khó khăn gì?,Dân cư ở nông thôn của Nhật ngày càng trở thành già nua
Thành thị Nhật Bản đang gặp vấn đề khó khăn gì?,"kết cấu gia đình ngày càng trở nên lỏng lẻo, quan hệ giữa các thành viên gia đình trở nên nhạt nhòa"
Cách sống của dân cư thành thị Nhật Bản đang trở nên thế nào?,hy sinh mọi niềm vui thú để chạy đua kiếm tiền đến mức gần như điên cuồng
Nguyên nhân nào làm gia tăng tỷ lệ tự sát ở Nhật Bản?,Do các áp lực cuộc sống ngày càng lớn
Phần lớn các người tự tử ở Nhật Bản có giới tính là gì?,nam giới
Vấn đề tự tử của Nhật Bản trong năm 2009 có tình hình như thế nào?,"Trong năm 2009, 6.949 người tự tử vì trầm cảm (21%), 1.731 người do những khó khăn của cuộc sống hàng ngày (5%) và 1.071 người do mất việc làm (3%)"
Nguyên nhân nào khiến dân số của Nhật Bản trở nên già hóa?,tỷ lệ sinh thấp và tuổi thọ cao
Dân số Nhật Bản gặp phải vấn đề báo động nào?,tình trạng lão hóa dân số một cách nhanh chóng
"Năm 2014, dân số Nhật Bản có tình hình như thế nào?","Năm 2014, số lượng người già trên 65 tuổi đã cao gấp đôi so với số lượng trẻ em dưới 14 tuổi"
Khi nào văn hóa Nhật Bản bắt đầu phát triển?,thời kỳ Jōmon
Những nền văn hóa nào ảnh hưởng đến Nhật Bản?,"văn hóa châu Á, châu Âu và Bắc Mỹ"
Các ngành nghề nào thể hiện nét đẹp của nghệ thuật truyền thống Nhật Bản?,"ikebana, origami, ukiyo-e, đồ chơi, đồ gỗ sơn mài và gốm sứ"
Dụng cụ âm nhạc nào du nhập vào Nhật Bản vào thế kỷ thứ IX?,đàn Koto
Thể loại âm nhạc nào được du nhập vào Nhật Bản?,kịch Nō
Khi nào thì âm nhạc phương tây du nhập vào Nhật Bản?,cuối thế kỷ XIX
Tiền đề cho sự phát triển của dòng nhạc J-pop là gì?,Nước Nhật thời hậu chiến tranh thế giới thứ hai bị ảnh hưởng nặng nề bởi âm nhạc Mỹ và âm nhạc hiện đại châu Âu
Các tác phẩm văn học sớm nhất của Nhật Bản được sáng tác bằng loại chữ nào?,Hán
Kể tên các tác phẩm văn học xuất hiện sớm nhất ở Nhật Bản?,hai cuốn sách lịch sử Kojiki và Nihon Shoki cũng như tập thơ từ thế kỷ thứ VIII Man'yōshū
Khi nào thì hệ thống ký tự kana xuất hiện ở Nhật Bản?,giai đoạn đầu của thời kỳ Heian
Tác phẩm văn học nào có tuổi đời dài nhất trong thể loại ký sự?,tiểu thuyết The Tale of the Bamboo Cutter
Nền văn học Nhật Bản có đặc điểm gì nổi bật?,Văn học Nhật Bản là một trong những nền văn học dân tộc lâu đời nhất và giàu có nhất thế giới
Vấn đề khó khăn không tìm được lời giải trong công cuộc điều tra lịch sử văn học Nhật Bản là vấn đề gì?,ngọn nguồn của văn học thành văn Nhật Bản khởi điểm chính xác từ khi nào
Những tác phẩm nào được giới văn học thế giới xem là khởi nguyên của văn học Nhật Bản?,"Vạn diệp tập thế kỷ thứ VIII, thi tuyển tập hợp 3 thế kỷ thi ca trước đó của Nhật Bản và các cuốn sử Cổ sự ký và Nhật Bản thư kỷ"
Tôn giáo nào có tuổi đời dài nhất ở Nhật Bản?,Thần đạo
Khi nào thì Phật giáo xuất hiện ở Nhật Bản?,thế kỉ thứ VI
Đặc điểm nổi bật nào của Phật giáo đã làm cho triều đình Nhật Bản chú ý?,Nghệ thuật và kiến trúc tinh tế
Tông phái nào thu hút được sự chú ý của nhân dân nhiều nhất ở phương Tây?,Thiền tông (Zen)
Thiên chúa giáo xuất hiện ở Nhật Bản nhờ ai?,người Bồ Đào Nha
Tên của loại kẹo thể hiện truyền thống Nhật Bản là gì?,wagashi
Nguyên liệu để làm nên wagashi là gì?,đậu đỏ và mochi
Khi nào thì bia xuất hiện ở Nhật Bản?,năm 1800
Món tráng miệng được làm từ đá thường bán ở lễ hội mùa hè có tên là gì?,Kakigori
Số ngày nghỉ mà chính phủ Nhật Bản công nhận là bao nhiêu?,16 ngày
Từ năm 2000 thì số ngày nghỉ lể của Nhật Bản đã có sự thay đổi gì?,"ừ những năm 2000 Nhật Bãn đã thực hiện Happy Monday System, đưa một số ngày lễ rơi vào cuối tuần lên thứ hai để có một ngày nghỉ dài"
Lần thêm ngày nghỉ lễ gần đây nhất của Nhật Bản là khi nào?,Năm 2014
Các ngày nghỉ lễ ở Nhật Bản đã có sự thảy đổi gì vào năm 2006?,"thêm ngày Shouwa, một ngày nghỉ quốc gia mới, thay cho ngày Greenery Day vào ngày 29/04 và chuyển ngày Greenery Day đến ngày 04/05"
Ngày lễ mừng một năm mới ở Nhật Bản có tên là gì?,New Year's Day
Ngày nào trong trong năm được giành cho trẻ con ở Nhật Bản?,05/05
Tháng nào trong năm có nhiều ngày lễ nhất ở Nhật Bản?,5
Ngày lễ cuối cùng trong năm ở Nhật Bản có tên là gì?,The Emperor's Birthday
Khi nào thì giải bóng đá chuyên nghiệp xuất hiện ở Nhật Bản?,năm 1992
Quốc gia nào là người tổ chức giải bóng đá liên lục địa liên tiếp trong khoảng thời gian 1981-2004?,Nhật Bản
Có bao nhiêu quốc gia được xem là chủ nhà của World Cup 2002?,2
Thành tựu to lớn mà bóng đá Nhật Bản nhận được là gì?,bốn lần dành chức vô địch cúp bóng đá châu Á
Nhật Bản và Nga đang có mối tranh chấp về vấn đề lãnh thổ nào?,chủ quyền trên quần đảo Nam Kuril
Nhật Bản và Hàn Quốc đang có mối tranh chấp về vấn đề lãnh thổ nào?,chủ quyền trên đảo Liancourt
Nguyên nhân dẫn đến mâu thuẫn giữa Hàn Quốc và Nhật Bản là gì?,"vụ Cộng hòa Dân chủ Nhân dân Triều Tiên bắt cóc công dân Nhật Bản trong quá khứ, cũng như các căng thẳng xung quanh chương trình phát triển vũ khí hạt nhân và tên lửa trên bán đảo Triều Tiên"
Quần đảo Senkaku đang là nơi diễn ra cuộc tranh chấp giữa Nhật Bản và quốc gia nào?,Trung Quốc và Đài Loan
Nội dung Điều 8 Hiến pháp Nhật Bản là gì?,quy định nước này từ bỏ quyền tuyên chiến hoặc sử dụng vũ lực quân sự trong các cuộc xung đột quốc tế
Lực lượng quân đội Nhật Bản có tính chất như thế nào?,binh lực quốc phòng thuần túy và không bao giờ được phép nổ súng bên ngoài lãnh thổ Nhật Bản
Cơ quan nào quản lý lực lượng quân đội Nhật Bản?,Bộ Phòng vệ
Ý nghĩa của việc quân đội Nhật Bản xuất hiện ở Iraq là gì?,đánh dấu sự xuất hiện lần đầu tiên của quân đội Nhật Bản bên ngoài lãnh thổ nước này kể từ sau Chiến tranh thế giới thứ hai
Những vật nào là vật tiền nhiệm của đồng hồ cát và có thể đã được phát minh ở Ấn Độ cổ đại?,clepsydra hay đồng hồ nước
"Theo học viện Hoa Kỳ New York, đồng hồ cát được phát minh ở Alexandria vào năm nào?",năm 150 TCN
Đồng hồ cát được sử dụng trước thời thánh Jerome đã được viết bởi tạp chí nào?,Tạp chí Hiệp hội Khảo cổ học Anh Quốc
Ai là người đã cầm chiếc đồng hồ cát trong cái quách được nghiên cứu bởi Winckelmann?,Morpheus
Việc sử dụng đồng hồ cát ở biển được thấy từ thế kỉ thứ mấy?,từ thế kỷ 14
Bằng chứng về việc sử dụng đồng hồ cát trên biển được ghi chép chủ yếu từ đâu?,nhật ký của tàu châu Âu
Bằng chứng sớm nhất có thể nói một cách chắc chắn là một chiếc đồng cát để sử dụng ở biển nằm trong biên lai của ai?,Thomas de Stetesham
Một chiếc đồng hồ cát được ghi nhận lần đầu tiên sử dụng ở biển từ lúc nào?,năm 1345
Điểm khác biệt giữa đồng hồ cát và thuyền buồm là gì?,chuyển động của tàu không ảnh hưởng đến đồng hồ cát
Tại sao dồng hồ cát không sử dụng chất liệu là dung dịch?,vì đồng hồ nước có xu hướng đông cứng khi thay đổi nhiệt độ
Những người đi biển phát hiện ra đồng hồ cát có những công dụng nào?,"xác định kinh độ, khoảng cách về phía đông hoặc tây từ một điểm nhất định, với độ chính xác hợp lý"
Sự tin cậy và chính xác của đồng hồ cát đã giúp nó thay thế loại dụng cụ nào?,đồng hồ nước
Bộ phận nào của đồng hồ các được thiết kế kiểu dáng thay đổi theo thời gian?,Phần ống kính
Những chiếc đồng hồ cát đầu tiên được ra đời với kiểu dáng như thế nào?,hai ống rời với một dây bọc điểm kết hợp của chúng mà sau đó được phủ bằng sáp để giữ các bộ phận với nhau và giúp cát chảy ở giữa
Vào thời gian nào thì hai phần ống của đồng hồ cát mới được gắn vào nhau?,năm 1760
Những yếu tố môi trường có thể tác động đến dòng chảy đã được giảm thiểu kể từ sự thay đổi thiết kế vào năm nào?,năm 1760
Đồng hồ cát cổ sử dụng nguyên liệu chính nào để hỗn hợp hạt để đo thời gian?,cát
Những nguyên liệu chính nào được sử dụng trong hầu hết các đồng hồ cát?,"bột đá cẩm thạch, oxít thiếc/chì, và vỏ trứng nghiền nát đốt cháy"
Để đạt được dòng chảy chính xác và hoàn hảo thì cấu tạo của đồng hồ cát và tỉ lệ hạt thì phải như thế nào?,tỉ lệ hạt và chiều rộng cổ đồng hồ cát là 1/12 hoặc lớn hơn nhưng không lớn hơn 1/2 chiều rộng cổ đồng hồ cát
Giới hạn tối đa của kích thước một hạt để đảm bảo dòng chảy trong đồng hồ cát được xuyên suốt là bao nhiêu?,không lớn hơn 1/2 chiều rộng cổ đồng hồ cát
Hành trình của Ferdinand Magellan vòng quanh thế giới đã được ủy quyền bởi ai?,hoàng đế Charles V
Một người phục vụ trên àu có nhiệm vụ lật đồng hồ cát nhằm mục đích gì?,cung cấp thời gian cho nhật ký tàu
Đồg hồ cát bốn-kiểu của Ý có từ thế kỷ bao nhiêu?,thế kỷ 17
"Trong dệt may của người Zulu, biểu tượng đồng hồ cát tượng trưng cho điều gì?",một người đàn ông đã kết hôn
Tính đối xứng của đồng hồ cát xuất hiện ở đâu của Tây Ban Nha?,tranh hang động
"Từ phim truyền hình Đường hầm thời gian và Challengers of the Unknown, hành viên của Dự án Tic Toc sử dụng biểu tượng đồng hồ cát đề làm gì?",iễn tả dịch chuyển thời gian hoặc thời gian trôi qua
Albert Einstein là nhà vật lý lý thuyết người gì?,Đức
Thuyết tương đối và trụ cột nào là hai trụ cột của vật lí hiện đại?,cơ học lượng tử
Phương trình biểu diễn sự tương đương giữa khối và năng lương là công thức nào?,E = mc2
Albert Einstein nhận được giải Nobel Vật lý vào năm mấy?,năm 1921
Công trinh nào của ông có tính chất khai sinh ra thuyết lượng tử?,hiệu ứng quang điện
Ngoài thuyết tương đối tổng quát thì trụ cột của vật lý hiện đại còn lại là gì?,cơ học lượng tử
"Khi bước vào sự nghiệp, Albert Einstein nhận ra cơ học của ai không thể thống nhất các định luật cơ học cổ điển và lực điện trường nữa?",Newton
Albert Einstein phát minh ra thuyết tương đối đặc biệt và được các bài bao đăng trong năm bao nhiêu?,năm 1905
Lý thuyết về hấp dẫn được ra đời vào năm bao nhiêu?,năm 1916
"Năm 1917, Einstein sử dụng thuyết tương đối tổng quát để miêu tả về cái gì?",mô hình cấu trúc của toàn thể vũ trụ
Albert Einstein tiên đoán trạng thái vật chất ngưng tụ Bose-Einstein cùng với ai?,Satyendra Nath Bose
Sau khi khai sinh ra lý thuyết về hấp dẫn vào năm 1916 thì Einstein tiếp tục nghiên cứu gì?,bài toán của cơ học thống kê và lý thuyết lượng tử
"Trong khi Albert Einstein thăm Hoa Kỳ thì vào năm 1933, ai lên nắm quyền?",Adolf Hitler
"Tại nơi nào, Albert Einstein là giáo sư ở Viện Hàn lâm khoa học Berlin?",Đức
Albert Einstein chính thức trờ thành công dân Mỹ vào năm bao nhiêu?,năm 1940
Ông đã ký vào lá thư cảnh báo ai trong lúc sắp diễn ra thế chiến thứ hai?,Tổng thống Franklin D. Roosevelt
Albert Einstein đã cùng với ai ký tuyên ngôn Russell–Einstein?,Bertrand Russell
Vào thời gian Einstein chính thức trở thành công dân Mỹ thì ai là người nắm quyền tại Đức?,Adolf Hitler
Gia đình Russell–Einstein có theo Do Thái giáo không?,không
"Năm lên 8 tuổi, Russell–Einstein được chuyển đến trướng nào?",Luitpold Gymnasium
Russell–Einstein học tại trường Luitpold Gymnasium trong vòng mấy năm?,7 năm
"Ở trường công giáo, ông học giỏi trong lĩnh vực nào?",các môn khoa học tự nhiên
Einstein dùng tay trái hay tay phải để viết?,tay phải
Trong quá trình học tiểu học và trung học thì Einstein đã có những khó khăn gì?,nói rất khó khăn
Bố Einstein có lần chỉ Einstein làm vật dụng gì?,la bàn bỏ túi
"Lúc 10 tuổi, ai là người chỉ cho Einstein những quyển sách cơ bản về khoa học, toán học và triết học?",Max Talmud
Einstein được 10 tuổi vào năm bao nhiêu?,Năm 1889
Talmud là một sinh viên y khoa Do thái nghèo đến từ đâu?,Ba Lan
Cộng đồng người Do Thái sắp xếp Talmud ăn với Einstein vào ngày thứ mấy trong tuần trong vòng sáu năm?,thứ Năm
Max Talmey ăn cùng với Einstein vào các ngày thứ mấy trong tuần?,thứ Năm
"Tại sao vào năm 1894, công ty của bố ông bị phá sản?",ngành công nghiệp điện thay thế dòng điện một chiều (DC) bằng dòng xoay chiều (AC)
Gia đình Einstein đến đâu để tìm lĩnh vực kinh doanh mới?,Ý
"Khi chuyển đến Pavia, Einstein ở lại Munchen để hoàn thành việc học tại đâu?",Luitpold Gymnasium
Bố Einstein muốn theo Einstein theo học ngành nào?,kĩ thuật điện
Einstein thuyết phục nhà trường cho anh nghỉ học bàng cách nào?,dùng nhận xét của bác sĩ về sức khỏe của anh
"Ở tuối 16, Einstein tham gia thi tuyển vào trường nào?",Bách khoa liên bang Thụy Sĩ
"Khi thi vào trường Bách khoa liên bang Thụy Sũ, Einstein đạt điểm cao ở những môn nào?",Vật lý và Toán học
"Khi ở trọ với gia đình giáo sư Jost Winteler, Einstein đã yêu ai?",Marie
Ông trở thành công dân Thụy Sĩ vào thời gian nào?,tháng 2 năm 1901
"Ở tuổi 17, Einstein làm giáo viên ở đâu?","Olsberg, Thụy Sĩ"
Vợ tương lai của Einstein là ai?,Mileva Marić
"Trong trường ETH, lớp Einstein có bao nhiêu sinh viên?",6
Einstein tốt nghiệp cử nhân sư phạm ETH Zurich vào năm bao nhiêu?,Năm 1900
Tại sao Marić lại trượt bài thi?,có điểm kém trong chuyên đề Lý thuyết hàm
Có những ý kiến cho rằng Mileva Marić hỗ trợ cùng Einstein trong các bài báo đột phá vào năm bao nhiêu?,năm 1905
Einstein trải qua bao nhiêu năm khó khăn đề tìm vị trí giảng dạy?,mất gần hai năm
Bố của ai đã giúp Einstein làm việc tại Bern?,Marcel Grossmann
Bố của Marcel Grossmann nhờ quen biết với ai đã giúp Einstein làm việc tại Bern?,giám đốc cục sáng chế
Einstein làm viêc tại Bern tr6en vị trí nào?,người kiểm tra các bằng sáng chế
Einstein vào biên chế lâu năm của Cục sáng chế Thụy Sĩ vào năm bao nhiêu?,Năm 1903
Einstein báo cá kết luận về hiện tượng mao dẫn vào năm bao nhiêu?,Năm 1901
Einstein hoàn thành luận án tiến sĩ vào ngày tháng năm nào?,Ngày 30 tháng 4 năm 1905
Einstein hoàn thành luận án tiến sĩ của mình dưới sự dẫn dắt của ai?,Alfred Kleiner
"Tại đại học nào, Einstein được trao bằng tiến sĩ?",Đại học Zurich
"Năm 1905, được các nhà khoa học nhắc đến có liên quan như thế nào đến Einstein?",Năm kỳ diệu của Einstein
Đại học Bern mời Einstein mời trừng vào giảng viên vào năm bao nhiêu?,Năm 1908
Einstein trở thành giáo sư thực thụ tại Đại học nào vào năm 1911?,Đại học Karl-Ferdinand
Einstein được bổ nhiệm làm giám đốc của Viện kaiser Wilhelm vào năm bao nhiêu?,Năm 1914
"Năm 1916, Einstein được bổ nhiệm chủ tịch của hội nào?",Hội Vật lý Đức
"Einstein tìm ra sự dịch chuyển đỏ do hấp dẫn,tính toán độ lệch tia sáng phát ra từ ngôi sao ở xa sẽ bị lệch bởi trường hấp dẫn Mặt Trời vào năm bao nhiêu?",năm 1911
"Sự phát hiện của Einstein vào năm 1911, dựa trên suy luận có từ năm bao nhiêu?",năm 1907
"Giá trị tuyên đoán của Einstein vào năm 1911, có giá trị bằng bao nhiêu so với giá trị chính xác khi tìm được phương trình trung tâm thuyết tương đối?",một nửa
Phương trình của thuyết tương đối tổng quát được Einstein tìm được vào năm bao nhiêu?,1915
Làn đầu tiên Einstein đến thành phố New York vào ngày tháng năm nào?,ngày 2 tháng 4 năm 1921
Thời gian Einstein thuyết giảng tại New York là bao nhiêu?,ba tuần
Einstein trình bày một số bài giảng tại những trường đại học nào ở New York?,Đại học Columbia và Đại học Princeton
"Tại Washington, Einstein cùng với các đại diện của Viện hàn lâm Khoa học quốc gia đi thăm nơi nào?",Nhà Trắng
"Trên đường ở lại châu Âu, nhà chính khách và triế học người Anh Viscount Haldane đã mời ông tới đâu?",Luân Đôn
"Vào năm bao nhiêu, Einstein đi du lịch và phát biểu trong các chuyến hành trình đến các nước châu Á và Palestine?",Năm 1922
"Thời gian, Einstein đi du lịch và phát biểu trong các chuyến hành trình đến các nước châu Á và Palestine là bao lâu?",6 tháng
Những nước Einstein đến gồm những nước nào?,"Singapore, Ceylon, và Nhật Bản"
Nội dung nào trong bức thư Einstein gửi cho con trai thể hiện sự cảm mến cho người Nhật?,"Trong những người mà bố đã gặp, bố thích người Nhật Bản nhất, vì họ là những người khiêm tốn, thông minh, chu đáo, và quan tâm tới nghệ thuật"
Trên hành trình đến Nhật Bản  Einstein ghé thăm những nơi nào?,Hồng Kông và Thượng Hải
Einstein đến thăm Palestine trong khoảng thời gian bao lâu?,12 ngày
Paletine là thuộc địa của quốc gia nào khi Einstein ghé thăm?,Anh
Nhà tiểu sử Walter Isaacson viết như thế nào về Einstein?,"Ông được chào đón bởi sự long trọng của người Anh, như là một chính khách cao cấp hơn là một nhà vật lý lý thuyết"
"Tháng 2 năm 1933, Einstein đang thăm quốc gia nào?",Hoa Kỳ
Tại sao Einstein quyết định không trở lại nước Đức?,do Đảng Quốc xã lên nắm chính quyền
Chuyến thăm các trường đại học Hoa Kỳ kéo dài trong thời gian bao lâu?,hai tháng
Einstein và Elsa trở lại Bỉ vào thời gian nào năm 1933?,cuối tháng 3
Einstein đến Antwerp vào thời gian nào năm 1933?,ngày 28 tháng 3
"Tháng 10 năm 1933, Einstein và Elsa quay về quốc gia nào?",Hoa Kỳ
"Khi trở về Hoa Kỳ vào năm 1933, Einstein đảm nhiệm chức vụ giáo sư tại đâu?","Viện nghiên cứu cao cấp Princeton tại Princeton, New Jersey"
"Vào năm bao nhiêu, Einstein quyết định ở lại Hoa Kỳ?",năm 1935
Einstein qua đời vào năm bao nhiêu?,năm 1955
"Năm 1939, nhóm các nhà kha học Hungari cảnh báo Washington điều gì?",phe Quốc xã đang thực hiện các nghiên cứu bom nguyên tử
"Hè năm 1939, Szilárd khuyên mời Einstein ký vào một bức thư gửi đến ai?",tổng thống Franklin D. Roosevelt
Bức thư gửi đến tổng thống Franklin D. Roosevelt còn đề cập những gì?,chính phủ Hoa Kỳ nên chú ý tới và tham gia trực tiếp vào nghiên cứu uranium cũng như chuỗi phản ứng dây chuyền
Bức thư được cho là có khả năng gì?,húc đẩy chính phủ Hoa Kỳ chấp nhận cho phép nghiên cứu vũ khí hạt nhân
Ai là người sở hữu bom nguyên tử đầu tiên?,Hitler
Nước nào là nước duy nhất sở hữu bom nguyên tử trong chiến tranh thế giới lần II?,Hoa Kỳ
"Vào năm bao nhiêu, Hieler trở thành lãnh đạo tối cao ở Đức?",năm 1933
"Sau khi Hitler trở thành lãnh đạo tối cao ở Đức, Einstein đã làm gì?",ông đã khẩn thiết kêu gọi các nước phương Tây chuẩn bị chống lại sự tấn công của nước Đức
Trước năm Einstein qua đời là năm bao nhiêu?,Năm 1954
Người bạn già mà Einstein từng kể chuyện vào năm 1954 là ai?,Linus Pauling
Hiệp hội quốc gia vì sự tiến bộ của người da màu tiếng Anh viết tắt là gì?,NAACP
Einstein là thành viên của NAACP tại đâu?,Princeton
"Einstein gọi chủ nghĩa phân biệt chủng tộc ở Hoa Kỳ là ""thứ bệnh tồi tệ nhất"" vào năm bao nhiêu?",năm 1946
Einstein từng nói như thế nào về chủ nghĩa phân biệt chủng tộc ở Hoa Kỳ?,Định kiến phân biệt chủng tộc không may đã trở thành truyền thống ở Mỹ lan truyền qua từng thế hệ mà không bị phê phán. Chỉ có thể khắc phục định kiến này bằng giáo dục và giác ngộ
Einstein bị chảy máu trong do vỡ động mạch chủ vào thời gian nào?,ngày 17 tháng 4 năm 1955
Ai là người phẩu thuật cho Einstein vào năm 1948?,tiến sĩ Rudolph Nissen
Einstein mất ở đâu?,bệnh viện Princeton
Einstein hưỡng thọ bao nhiêu tuổi?,76
Ai là người mô lấy não của Einstein trong quá trình khám nghiệm tử thi?,Thomas Stoltz Harvey
Các bài báo ban đầu của Einstein đều bắt nguồn từ đâu?,ự cố gắng chứng minh rằng nguyên tử tồn tại và có kích thước hữu hạn khác không
Einstein viết bài báo đầu tiên vào năm bao nhiêu?,năm 1902
Các nhà khoa học khác đã có chứng cứ về sự tồn tại của nguyên tử từ các công trình của ai?,Antoine Lavoisier
Ludwig Boltzmann là nhà vật lý thống kê hàng đầu của thế kỷ bao nhiêu?,XIX
Boltzann đưa ra điều gì để gợi ý rằng định luật entropy có tính thông kê?,cách giải thích các định luật nhiệt động học
Entropy được Boltzmann suy nghĩ là như thế nào?,logarit của số các trạng thái một hệ có được cấu hình bên trong
Tại sao entropy tăng?,xác suất để một hệ từ trạng thái đặc biệt với chỉ vài cấu hình bên trong chuyển sang hệ có nhiều trạng thái hơn là lớn
Ý tưởng thống kê được áp dụng thành công nhất khi nào?,giải thích tính chất của chất khí
James Clerk Maxwell đã tìm ra định luật gì?,phân bố vận tốc của các nguyên tử trong chất khí
"Sau khi James Clerk Maxwell tìm ra định luật phân bố vận tốc của các nguyên tử trong chất khí, thì ông đưa ra kết luận ngạc nhiên gì?",tính nhớt của chất khí có thể độc lập với mật độ của nó
Maxwell chú ý tại nhiệt độ như thế nào thì lý thuyết nguyên tử tiên đoán nhiệt dung riêng quá lớn?,thấp
"Trong cơ học thống kê cổ điển, mọi dao động điều hòa đơn giản đều có những thành phần gì?",nhiệt năng kBT ở nhiệt độ trung bình T
Nhiệt dung riêng của mọi là xo là hằng số gì?,hằng số BoltzmannkB
Những mâu thuẩn này dẫn đến nhiều người nói rằng nguyên tử không có tính gì?,tính vật lý
Ernst Mach từng nghĩ như thế nào về nguyên tử?,"nếu nguyên tử tồn tại, thì nó có thể nhìn thấy được"
"Ai là người tin rằng những nguyên tử này là môt giả tưởng hữu dụng, được giải sử nhỏ vô hạn?",Mach
Ai là người khám phá ra định luật ma sát cho quả cầu nhỏ trong chất lỏng nhớt giống nước?,George Stokes
George Stokes đã chỉ ra những gì có liên quan đến vận tốc nhỏ trong quá trình khám phá?,"lực ma sát tỉ lệ với vận tốc, và bán kính của hạt"
Einstein chú ý đến những quả cầu có kích thước bao nhiêu?,khoảng một micron
Những quả cầu kích thước khoảng một micron có thể di chuyển với vận tốc bao nhiêu?,vài micron trong một giây
Ai là người quan sát được hiện tượng những quả cầu kích thước khoảng một micron di chuyển với vận tốc vài microb tron một giây?,Robert Brown
Lý thuyết của Einstein chuyển động Brown là bài báo đầu tiên trên lĩnh vực nào?,vật lý thống kê
Chuyển động Brown thiết lập mối quan hệ giữa thăng giáng nhiệt động và gì?,sự tiêu tán năng lượng
"Trong bài báo về chuyển động Brown, Einstein chỉ ra tỉ số nghỉ động học đươc tính toán từ cơ học cổ điển có thể được dùng như thế nào?",ỉ số nghỉ thống kê (statistical relaxation rates) để dẫn ra định luật khuếch tán động học
"Thay vào đó, Einstein quyết định tập trung vào đâu?",các nguyên lý tiên nghiệm
Ví dụ nào thể hiện các nhà vật lý chấp nhận rộng rãi của nguyên lý tiên nghiệm?,tính bất biến quay
Nếu một lực mới được khám phá ở đâu thì lực đó có thể lập tức hiểu nó có tính bất biến?,vật lý
Einstein tìm ra nguyên lý tiên nghiệm đầu tiên nào?,nguyên lý tương đối
Nguyên lí tương đối được ai mở rộng cho cả tính bất biến quay từ không gian vào không - thời gian?,Hermann Minkowski
Những nguyên lí khác được giả thuyết bởi Einstein và sau đó được chứng minh là nguyên lý gì?,tương đương và nguyên lý bất biến đoạn nhiệt của số lượng tử
Nguyên lí nào của Einstein đang là vấn đề nghiên cứu của các nhà khoa học?,nguyên lý Mach
Bài báo được viết năm bao nhiêu cả Einstein nói về động lực học các vật thể chuyển động giới thiệu ra lý thuyết tương đối hẹp?,năm 1905
"Theo bài báo năm 1905, thì tốc độ ánh sáng độc lập với tra5g thái chuyển động của quan sát viên đòi hỏi điều gì?",những sự thay đổi cơ bản về khái niệm của sự đồng thời
Những hệ quả của kết luận này bao gồm những gì?,sự giãn thời gian và co độ dài (theo hướng chuyển động) của vật thể chuyển động tương đối đối với hệ quy chiếu của quan sát viên
Bài báo năm 1905 của Einstein đã bác bỏ sự tồn tại của điều gì?,ête (vật lý)
"Vào năm 1906, Einstein tiếp tục nghiên cứu về điều gì?",cơ học lượng tử
Einstein nghiên cứu cơ học lượng tữ vào năm 1906 nhằm giải thích điều gì?,sự dị thường của nhiệt dung riêng trong các chất rắn
Định luật Planck giải thích điều gì?,phân bố bức xạ điện từ
